Address,Total Size
0x8C06FBbc24dC482746ccC77BCA94AA2221182c71,38340335
0x6E448CD43ce19004eaF0C8af6eEea51652328365,27189052
0x9BdDF5558a6a2AdF9B38F0Af3cfeC80F0C603cC5,12678700
0x30530D8c6F6AA5416609992bbE08AaC518d8525a,11904786.677000001
0xA7cf9b6a8071BDD78E2B51BB3ef863AF974c4B40,9805624.9767
0xBEB9Af1371749c95332C513F09949f3D03ef185c,7309295
0x51c47a2f7D38cc175b53c8ccCb64Ad526D057EED,6397967
0x357cd9Ce1FB32a3dcB250EaF30c5cEFd1609b2b1,5066500
0xf42bFFEdf7A8B41aE457F88E95a76B3e61Ec30Ed,2593090.9166
0x4a95dEcaB17111Fb690315Fc542ab1754c3B00B5,2342760
0x8920657BB672f5A9C662a9Ec16501520E3bCD9F6,1025100
0x15dFfa44F628c22F60a74a1342298b0aBCA8c293,646446.1984
0xeF5f29D251e7892DF6b87Ad91deE899fFE06AA96,497979
0xc8bb0237f5f978113AD2400d17d4daAE52D8fec7,441200
0xfB84fa443490F28863a5b4810221Da1eFc2bbeaa,318787
0x1CB3c6B77Fde279cf7403a5C0AE2d5Fc9D356A55,64491
0xEf06Ee12A0295AD6F4951F25C971325d785747A4,58550
0x168C063Cd043da0535Aa6e14cE6c8d992a2226F7,52500
0x4268D85e6DeC7502C55634D9eF2dABA554942163,47836
0x3C41943E2F92FE316Ef7Ab82Ef6390079Ff0fdE7,39900
0xB58e8c38904820a4996F6f81D347e2aEDf968C63,31853.3682
0x9356A902066798e02EEE5808074c4719dDe2C67a,31398.3027
0x74477c2FDbC59EaC66489BE9FE4bA164deA2475B,24110
0xfc64509EAdA06F5Cfc52cB292a5652ea645AeC9b,22725.1544
0xb8554553ad330F15aa005AE1A9B5eeD3563188d4,10200
0xd69C957Aa14286fDA986A12a40B4CB54eAaf76Ea,9615
0x5424f41b84Ad8BEB5BA99a0802922134c7F535B8,7633.3559
0x5EAF2a35f3bbA9828Eaaa8EA1D8E4b6eFED42488,6400
0xA12d21ddb4bA660Ace45A46B3C405EcA85327d31,4000
0x2CC3A227e184Afc5386c08A68F4E2947A2068437,3342.427
0x6d0b2B6Ee994BC8Cdfb14Cf494393aAdaEB134bA,3295.61
0x394FcB2121B182Df16c6B296288CAe6b3f57eB0e,2500
0xb4269145a19d47dB50a82166862341255194D143,2300
0x07eb853d271816Ff9d1E015A070b71B9A5dC4AFD,2009.917
0x54EDAC0AF3DB6003A7f9f0617f4F53F25BE0B99D,1657.674
0x72D0c3466A6F00ca24C2f3Dc796eF1400b4942b1,1380
0x14df64A079e1FE9E29f429BD2786D8443c8f2929,1290.4018999999998
0x96433170C3A1F3a499Dd5C1282F965729020E70A,1200
0xB97EE67E5f3FD3e2c22deD8ed6ca19693181d72d,422
0x77EE032a4c0Dca739512191E2F2a4fbd54738853,352
0x3AF6c4F0eA14653Ec07E52793f95e8eb1Dc531a9,275.355904
0x6341b596D75D6838615A961a75b4cbA1E7f2B272,200
0x5F63D24925E78cDcE4fE515222b714780E8eFEf7,200
0x4292dad7666899b092b04de67B1bdD53C3fb6946,175
0x88dd545b65E01F6Ce4b7853AF73b54947fB44324,141.0984
0xF59514008950545F7E801f891f8996F51007E652,129.13979999999998
0x231Be797ACEFF5F81C354751D567A67938d6d41f,120
0x2bB424743EbF4F025ec6d9D890dEaAf9af9112Bc,107.88159999999999
0xA3b45239aD929b6572b046829B21e59ce90c7314,61.8127
0x7f7Ce69e231BbB1F80414b08F06178c25Cce7c3e,40
0x54fb9EACf8532909C3f13f7b8054f6309fcbE16f,22.05
0xE427BB84eDDC20653818D467E4b44F4e35263749,10
0x2B185C762F6Fb49a07116EC06B238B58Fe2BeC53,10
0x6c2693F5a936f37eD03CfA8465bF2D8BEFf19A0f,10
0xFBbe90DD04250B5E789Ed9d1bFBA2476E524a852,2
0xe9afd79878245F4B6DA9d2Caa07C3b641352d945,1.3
0xB18C38D991cC55FAfE13180f64FAB270a1Ede29e,1.1623
0xc0f316E58DBB0A203b5B5808adc51a8D39abCdA0,1
0x00085a6b85B15E7a6BC9F4F4E937Ba1709d5fc57,0.8758
0xcaB9E0D79B6E7F1aF8eAEcD35341Ad25C5B032dA,0.30000000000000004
0x6F3F7d558e939bE8a4f54c1D705FDfc2353606Ac,0.3
0x8d307fcA3C0dFbe9B9Be671C5245E9Ef2e80Cf4f,0.2
0xB40F96443A59C3bA6c47A9700c299382dB5e7979,0.18130000000000002
